,0
172,ASS FAMILLE QUARTIER ST VINCENT LA FARANDOLE CC
173,ASS FAMILLE QUARTIER ST VINCENT LES AUGUSTINS CC
174,ASS FEDERATION NAT  RAPATRIES
175,ASS FONDATION RENAUD
176,ASS GEST CTRE SOCIAUX SANTY-MERMOZ
177,ASS GESTION ANIMATION CENTRE SOCIAL
178,ASS GESTION CENT SOCIAL VAISE
179,ASS GESTION CENTRE SOCIAL DE MOULIN A VENT
180,ASS GESTION SOCIAL ETATS UNIS
181,ASS HABITAT HUMANISME RHONE
182,ASS HARMONIE DE NEUVILLE
183,ASS LA PASSERELLE D EAU DE ROBEC
184,ASS LE PASSE JARDINS
185,ASS LYON DEVENUS SOURDS ET MALENTENDANTS
186,ASS LYONNAISE D INGENIERIE SOCIAL
187,ASS MULTI SERVICES DEVELOPPEMENT
188,ASS NATIONAL EDUCATION PERMANENTE ADULTE
189,ASS OFFICIERS RESERVE DE LYON
190,ASS PATRIMOINE MILITAIRE DE LYON ET SA REGION
191,ASS PATRONAGE INSTITUT REGTIONAL SOURS AVEUGLES DE MARSEILLE
192,ASS PATRONAGE LAIQUE HERRIOT MERMOZ
193,ASS POUR GESTION CENTRE SOCIAL GERLAND
194,ASS POUR LA DIFFUSION SCIENTIFIQUE ET L'AIDE ASSOC
195,ASS POUR LE DEVELOPPEMENT LOCAL
196,ASS POUR PROMOTION DU CERTA
197,ASS REGIONALE DES TSIGANES ET DE LEUR AMIS GADJE
198,ASS RHONE ALPES FAMILIAUX REF
199,ASS SCOLAIRE NOTRE DAME BON CONSEIL
200,ASS SCOP ENTREP UNION REG RHONE ALPES
201,ASS SPORT DANS LA VILLE
202,ASS SPORTIVE CHAVANT FAURE
203,ASS SPORTIVE DES CHINOIS D'OUTRE-MER A LYON
204,ASS SPORTIVE ET CULTURELLE FRANCOISE HERITIER
205,ASS SPORTIVE SCOLAIRE ALIX
206,ASS SPORTIVE SCOLAIRE JULES VERNE
207,ASS SPORTIVE SCOLAIRE TISSOT
208,ASS SPORTIVE UNIV LYON VAUX EN VELIN
209,ASS TAEKWONDO CLUB DU PARC
210,ASS TANDEM CLUB RHODANIEN
211,ASS VILLEURBANNAISE DROIT AU LOGEMENT
212,ASS.NAT.COMMUNES POUR MAITRISE DES RISQUES TECHNOLOG.MAJEURS
213,ASSEMBLEE ARTISTIQUE DES DIVERSITES NUMERIQUES
214,ASSISESPORTIVE
215,ASSO CENTRE SOCIAL SAUVEGARDE
216,ASSO DE PROMOTION D'UNE FABRIQUE DES TRANSITIONS
217,ASSO DEPARTEMENTALE INFORMATION LOGEMENT
218,ASSO DU SERVICE RÉGIONAL DE POLICE JUDICIAIRE LYON
219,ASSO LE CHAINON MANQUANT
220,ASSO LYONNAISE DE FOOTBALL AUSTRALIEN LIONS
221,ASSO SPORTIVE FOYERS DES SOURDS DE LYON
222,ASSO SPORTIVE SCOLAIRE J MERMOZ
223,ASSO. SOUTIEN FONDATION DES FEMMES
224,ASSOC ASTREE
225,ASSOC BOULISTE CENTRE DUCHERE
226,ASSOC DEP DEVELOPP EMPLOI AGRICOLE RURAL
227,ASSOC LYON BIOPOLE
228,ASSOC PERSONNES EN SITUATION DE HANDICAP NEUROMOTEUR ET LEUR FAMILLE
229,ASSOCIATION  BIBLIOTHEQUES D HOPITAUX LYON REGION
230,ASSOCIATION A LA RECHERCHE FOLKLORE IMAGINAIRE
231,ASSOCIATION AAA DU LYONNAIS - MR JULIEN VINAY
232,ASSOCIATION ACTE
233,ASSOCIATION ALBERT LAURENT
234,ASSOCIATION ALWANE
235,ASSOCIATION BARABAN TAEKWONDO
236,ASSOCIATION BIBLIOTAKEAIR
237,ASSOCIATION CARRE 6 BROTTEAUX
238,ASSOCIATION CELESTINE
239,ASSOCIATION CHEF MENTEUR
240,ASSOCIATION CHEVREUL & CO
241,ASSOCIATION CSF SECTION CHAMPVERT
242,ASSOCIATION DE L HOTEL SOCIAL
243,ASSOCIATION DE L HOTEL SOCIAL - SIEGE
244,ASSOCIATION DE L INSTITUTION ST JOSEPH
245,ASSOCIATION DE LA RESIDENCE RINCK
246,ASSOCIATION DE PREFIGURATION DE LA CITE INTERNATIONALE
247,ASSOCIATION DES  JARDINS OUVRIERS COMMUNAUX LYON
248,ASSOCIATION DES BURKINABES DE LYON
249,ASSOCIATION DES CADETS DE LA GENDARMERIE NATIONALE
250,ASSOCIATION DES CENTRES SOCIAUX ET CULTURELS DE MEYZIEU
251,ASSOCIATION DES COMMERCANTS SAXE SAINT POTHIN
252,ASSOCIATION DES ESPECES PARMI LYON
253,ASSOCIATION DES PENTES SPORTIVES ET CULTURELLES
254,ASSOCIATION DES RESCAPES DE MONTLUC
255,ASSOCIATION DIALOGUE ORIENTATION SCOLAIRE
256,ASSOCIATION ENVIE RHONE ALPES
257,ASSOCIATION FAMILIALE SAINTE-MARIE LYON
258,ASSOCIATION FAMILIALE ST THOMAS D'AQUIN
259,ASSOCIATION FONDATION ETUDIANTE POUR LA VILLE (AFEV)
260,ASSOCIATION FORMATION ET INGENIERIE
261,ASSOCIATION GESTION CENTRE SOCIAL BONNEFOI
262,ASSOCIATION GESTION VILLA GILLET
263,ASSOCIATION HELIX
264,ASSOCIATION HF
265,ASSOCIATION INSERTION  DEV EMPLOIS NOUVEAUX
266,ASSOCIATION INSERTION DÉVELOPT EMPLOIS NOUVEAUX
267,ASSOCIATION INSERTION EMPLOI SERVICES
268,ASSOCIATION INTERMEDIAIRE ICARE
269,ASSOCIATION JEUNES AMBASSADEURS
270,ASSOCIATION JEUNES ETUDIANTS GUINEENS DU RHONE
271,ASSOCIATION LA MAISON
272,ASSOCIATION LAIQUE GERLAND LA MOUCHE ALGM
273,ASSOCIATION LALYRE
274,ASSOCIATION LAMARTINE
275,ASSOCIATION LE MAS
276,ASSOCIATION LES ENFANTS DU TARMAC
277,ASSOCIATION LIEUX NUMERIQUES
278,ASSOCIATION LIRE A BRON
279,ASSOCIATION LYF
280,ASSOCIATION LYON 7 RIVE GAUCHE
281,ASSOCIATION LYON LA DUCHERE
282,ASSOCIATION LYON SANTE EDUCATION ALYSE CC
283,ASSOCIATION LYON SANTE EDUCATION CHARDONNET CC
284,ASSOCIATION LYONNAISE DE GESTION D ETABLISSEMENTS POUR PERSONNES
285,ASSOCIATION LYONNAISE DE SANTE MENTALE
286,ASSOCIATION LYONNAISE NOUVELLE D ECOUTE ET D ACCOMPAGNEMENT
287,ASSOCIATION MA
288,ASSOCIATION MAISON DE LORETTE
289,ASSOCIATION MEDIATION LYON (AMELY)
290,ASSOCIATION MILLE FEUILLES
291,ASSOCIATION MUSIC'LY
292,ASSOCIATION MUSICALE D'IRIGNY
293,ASSOCIATION PEPINIERE CAP NORD
294,ASSOCIATION POLE EN SCENES
295,ASSOCIATION POLE PIXEL
296,ASSOCIATION POLYDOM AIDE
297,ASSOCIATION POUR LA GESTION ET L ANIMATION DU CENTRE SOCIO CULTUREL
298,ASSOCIATION PRATIQUE
299,ASSOCIATION QUARTIER AUGUSTE COMTE
300,ASSOCIATION REGIONALE DES TSIGANES ET DE LEURS AMIS GADJE
301,ASSOCIATION REUSSIR L INSERTION A BRON
302,ASSOCIATION SAINT IRENEE DES CHARTREUX
303,ASSOCIATION SAINT MARC D EDUCATION CHRETIENNE
304,ASSOCIATION SAN PRIOTE POUR L INSERTION PAR L EMPLOI
305,ASSOCIATION SCICABULLE
306,ASSOCIATION SCOLAIRE CAVENNE
307,ASSOCIATION SCOLAIRE MATERNELLE CAVENNE
308,ASSOCIATION SOLIDARITE AFRIQUE
309,ASSOCIATION SPORTIVE ANATOLE FRANCE
310,ASSOCIATION SPORTIVE ANTOINE CHARIAL
311,ASSOCIATION SPORTIVE BELLECOUR PERRACHE
312,ASSOCIATION SPORTIVE CONFLUENCE
313,ASSOCIATION SPORTIVE D'AVENIR
314,ASSOCIATION SPORTIVE DE LA POLICE LYONNAISE
315,ASSOCIATION SPORTIVE DE MONCHAT
316,ASSOCIATION SPORTIVE DE TENNIS DE TABLE LYON 6EME
317,ASSOCIATION SPORTIVE DUCHERE BASKET
318,ASSOCIATION SPORTIVE ET CULTURELLE DE L'ISARA-LYON
319,ASSOCIATION SPORTIVE MONCEY GARIBALDI
320,ASSOCIATION SPORTIVE SCOLAIRE JEAN MERMOZ
321,ASSOCIATION SPORTIVE SCOLAIRE LES FOUGERES
322,ASSOCIATION SPORTIVE UNIVERSITAIRE LYONNAISE
323,ASSOCIATION SPORTIVE VILLEURBANNE EST LYON BASKET
324,ASSOCIATION TAKA MOUV
325,ASSOCIATION TECHTERA
326,ASSOCIATION TREMPLIN
327,ASSOCIATION VEIL FRATERNITE
328,ASUL KARATE
329,ASUL LYON 3 BASKET
330,ASUL LYON 8
331,ASUL LYON VOLLEY BALL
332,ASUL ULTIMATE
333,ATD QUART MONDE LYON
334,ATELIER EMMAUS
335,ATMO AUVERGNE RHONE ALPES
336,AU JARDIN DE SOI
337,AU PLAISIR DE TOUS
338,AU TAMBOUR
339,AU46
340,AUTISME REPIT EMPLOI VACANCES AIDES LOGEMENT
341,AUTRE CERCLE RHONE ALPES
342,AVEC
343,AVENIR SANTE FRANCE
344,AVF LYON RHONE
345,AVIAM RHONE ALPES
346,AVIRON CLUB LYON CALUIRE
347,AVIRON UNION NAUTIQUE DE LYON
348,AWAL GRAND LYON
349,AXELERA
350,AXENTIA
351,BABY NURSERY
352,BADMINTON CLUB DE LYON
353,BAGAGE'RUE
354,BAILA CONMIGO
355,BALISES
356,BALLET COSMIQUE
357,BAMBOU BALANCE HARMONIE ET MOUVEMENT
358,BANQUE ALIMENTAIRE DU RHONE
359,BASILIADE
360,BASKET BALL DU 5EME BB5
361,BASKET CRO LYON
362,BASKET LOISIR DES BATTIERES
363,BASTON
364,BATIGERE RHONE ALPES
365,BATIGERE RHONE ALPES SOCIETE ANONYME D HABITATIONS A LOYER MO
366,BDE TOUT'IAE
367,BEAUMARCHAIS BASKET LYON METROPOLE
368,BECOMTECH
369,BELLEBOUFFE
370,BERRETIN-TANGO&MUSIQUE
371,BIDOUILLES ET MAGOUILLES ASSOCIATION
372,BIENS FRANCAIS DU PATRIMOINE MONDIAL UNESCO
373,BIS ET COMPAGNIE ATTRACTION THEATRE ET CINEMA
374,BOCUSE D'OR WINNERS
375,BOULE RAVAT CONFLUENCE
376,BOURSE DU TRAVAIL
377,BOXING LYON UNITED
378,BRIGADES NATURE RHONE
379,BRINS DE VOIX
380,BROCHIER TECHNOLOGIES
381,BRON VERTICAL
382,BUBBLE ART
383,BUREAU DES ARTS ECAM LYON
384,BUREAU DES ETUDIANTS ESTRI
385,CA PRESSE
386,CABESTAN
387,CABIRIA
388,CADET BRETELLE
389,CAISSE D ALLOCATIONS FAMILIALES DU RHONE
390,CANOE KAYAK LYON OULLINS MULATIERE
391,CANUTOUCH LYON
392,CAP SERVICES
393,CAP SUR LE RHONE
394,CAPUCINE
395,CARA AUVERGNES-RHONE-ALPES
396,CARACOL
397,CARGO
398,CARPA COLLECTIF ASSOC RHONE POUR ACCESSIBILITE
399,CARRE ROOSEVELT LYON RIVE GAUCHE
400,CART A CHANTER CROIX ROUSSE
401,CARTON
402,CAUE DU RHONE
403,CAVAILLE COLL A SAINT FRANCOIS
404,CCI FRANCE ISRAEL RHONE ALPES
405,CDC HABITAT SOCIAL SA H.L.M
406,CDC HABITAT SOCIAL SOCIETE ANONYME D'HABITATIONS A LOYER MODERE
407,CEELSPS
408,CENTRE 9 C EST NEUF
409,CENTRE CULTUREL OECUMENIQUE JEAN PIERRE LACHAIZE
410,CENTRE D ANIMATION SAINT JEAN
411,CENTRE D INFORMATION SUR LES DROITS DES FEMMES ET DES FAMILLES RHONE
412,CENTRE DE LA VOIX RHONE ALPES LES PASSERELLES
413,CENTRE FAMILLE ET MEDIATION
414,CENTRE HOSPITALIER DU VINATIER
415,CENTRE LEON BERARD
416,CENTRE LESBIEN GAI BI TRANS ET INTERSEXE LYON
417,CENTRE MEDICO SOCIAL LA FERRANDIERE
418,CENTRE MUSICAL ET ARTISTIQUE
419,CENTRE R C DEP CANCERS R AUV RHONE ALPES
420,CENTRE SOCIAL AU GRAND VIRE
421,CENTRE SOCIAL CULTUREL ARC EN CIEL
422,CENTRE SOCIAL DE CHAMPVERT
423,CENTRE SOCIAL DE CUSSET
424,CENTRE SOCIAL DE L  OLIVIER
425,CENTRE SOCIAL DE LA BERTHAUDIERE
426,CENTRE SOCIAL DE PARILLY
427,CENTRE SOCIAL DE SAINT JUST
428,CENTRE SOCIAL DES ETATS UNIS
429,CENTRE SOCIAL DU POINT DU JOUR
430,CENTRE SOCIAL DUCHERE PLATEAU RENE MAUGIUS
431,CENTRE SOCIAL ET CULTUREL J ET J PEYRI
432,CENTRE SOCIAL ET CULTUREL PIERRETTE AUGIER
433,CENTRE SOCIAL ET FAMILIAL
434,CENTRE SOCIAL ET SOCIOCULTUREL DE GERLAND
435,CENTRE SOCIAL ET SOCIOCULTUREL LES TAILLIS
436,CENTRE SOCIAL GEORGES LEVY
437,CENTRE SOCIAL GERARD PHILIPE
438,CENTRE SOCIAL LA SAUVEGARDE
439,CENTRE SOCIAL LAENNEC
440,CENTRE SOCIAL POINT DU JOUR
441,CENTRE SOCIAUX GIVORS
442,CENTRES SOCIAUX CULTURELS MULATIERE
443,CENTRES SOCIAUX DES MINGUETTES
444,CENTRES SOCIAUX SANTY-MERMOZ
445,CERCLE BELLECOMBE LYON
446,CERCLE BOULISTE DU POINT DU JOUR
447,CERCLE DE L AVIRON DE LYON
448,CERCLE DE LA VOILE DE LYON
449,CERCLE DES CHEFS D ATELIER
450,CERCLE LAIQUE A REMOND
451,CERCLE LYONNAIS DES SOURDS CLUB SENIORS
452,CERCLE UNION DEMOCRATIQUE ET SOCIALE DU 1ER
453,CHAMBRE REGIONALE DE L ECONOMIE SOCIALE ET SOLIDAIRE AUVERGNE RHONE
454,CHAMBRE REGIONALE ECONOMIE SOCIALE
455,CHANTE ET TAIS-TOI!
456,CHARITE-BELLECOUR
457,CHATHA
458,CHEVREFEUILLE LOISIRS
459,CHOEUR UNIVERSITAIRE MIXTE DE LYON
460,CHRYSALIDE
461,CHUAN TONG INTERNATIONAL
462,CIDFF
463,CIE ALBERT CLAQUEMURE
464,CIE DE DANSE HALLET EGHAYAN
465,CIE FROTTER FRAPPER
466,CIE MARINIERE SAUVETAGE LA MOUCHE
467,CIE PRUNE & MELCHIOR
468,CIMADE
469,CINE DUCHERE
470,CITE ANTHROPOCENE
471,CJNG MAISON MA BILLE
472,CLAN SPELEO DU TROGLODYTE
473,CLASS FSGT
474,CLLAJ COM LOC LOGEM AUTON JEUNES
475,CLUB ALPIN FRANCAIS DE LYON VILLEURBANNE
476,CLUB AMITIE ET NATURE LYON
477,CLUB D'ULTIMATE DES GONES
478,CLUB DE PLONGEE AQUARIUS
479,CLUB DES SPORTS DE GLACE DE LYON
480,CLUB DU 1ER POUR L AMITIE
481,CLUB LYON KYOKUSHINKAI
482,CLUB OMNISPORT DE LYON
483,CLUB OMNISPORTS
484,CLUB RHODIA VAISE
485,CLUB SPORTIF CHARCOT
486,CLUB SPORTIF LYON 8
487,CLUSTER LUMIERE
488,CO NAISSANCES
489,COCON DE L OUEST
490,CODEP EPVG RHONE METROPOLE DE LYON
491,CODERS 69
492,COIN COIN PRODUCTIONS
493,COLIN MAILLARD
494,COLLECTIF AR
495,COLLECTIF DES FLOUS FURIEUX
496,COLLECTIF ES
497,COLLECTIF ITEM
498,COLLECTIF LE BLEU D ARMAND
499,COLLECTIF LES INDECIS
500,COLLECTIF LIBRATIONS
501,COLLECTIF LOGEMENT RHONE
502,COLLECTIF ME TOO LYON
503,COLLECTIF PINCE OREILLES
504,COM DEP LIAISON ASS ANC COMBATTANTS
505,COM EXPRESSION
506,COMITE BOULISTE DEPARTEMENTAL DU RHONE
507,COMITE D ENTRAIDE AUX FRANCAIS RAPATRIES/FRANCE HORIZON
508,COMITE DEP LIGUE NAT CONTRE LE CANCER
509,COMITE DEPART SPORT ADAPTE RHONE
510,COMITE DEPARTEMENTAL DE NATATION DU RHONE METROPOL
511,COMITE DEPARTEMENTAL DU RHONE FSCF
512,COMITE DEPARTEMENTAL DU SPORT ADAPTE DU RHONE METROPOLE DE LYON
